Model,MAE,MSE,RMSE,R2
Random Forest,1113.7647988240715,7060682.163430191,2657.1944158134515,0.8978183113593473
Decision Tree,1297.1021506040706,8758361.439099977,2959.4528952324918,0.8732496179749245
Linear Regression,1975.9237413385058,18246202.57741255,4271.557394840031,0.7359422577756034
